idplaces	place_type	name	full_name	country_code	country	id	longitude	latitude
01296d8b0d0af733	city	Beltrán	Beltrán, Colombia	CO	Colombia	14004	-74.740943	4.800984
01c797187708f927	city	Lakeside	Lakeside, TX	US	United States	14005	-97.49335479999999	32.8223501
31f2f214d0192b6e	neighborhood	Villas del Sol	Villas del Sol, Benito Juárez	MX	México	14006	-106.4250592	31.7351845
93aa7d692d69c8bc	city	Juzbado	Juzbado, España	ES	España	14007	-5.8624228	41.0773762
ed6c83b538c1e4c5	city	Manuel	Manuel, España	ES	España	14008	NA	NA
6ebd24fb96e9e6fe	neighborhood	Humaya	Humaya, Culiacán	MX	México	14009	-107.418149	24.8230181
f0849ab7d3658fec	city	Balneário Camboriú	Balneário Camboriú, Brasil	BR	Brasil	14010	-48.637905	-27.0015756
47ebecc5d083362f	neighborhood	Cinco de Mayo	Cinco de Mayo, Hermosillo	MX	México	14011	-110.9439576	29.0912666
001055682aa519d0	city	El Venado	El Venado, Venezuela	VE	Venezuela	14012	-70.92198549999999	10.0726215
6b773aa75b0e24b2	city	Llocnou de la Corona	Llocnou de la Corona, España	ES	España	14013	-0.3819027	39.4212382
6345fee4f03be169	neighborhood	Fraccionamiento del Valle	Fraccionamiento del Valle, Victoria	MX	México	14014	-99.1352383	23.7593645
217066f0a2245f74	neighborhood	Jardines de San José	Jardines de San José, Guadalajara	MX	México	14015	-103.3854452	20.6327866
19e2aac826601107	neighborhood	Rincón de las Puentes	Rincón de las Puentes, San Nicolás de los Garza	MX	México	14016	-100.2827989	25.7456597
46e4ebd6153a3e16	city	Apaxtla	Apaxtla, Guerrero	MX	México	14017	-99.9331024	18.1303977
212620dc7cd34699	admin	Dallas-Fort Worth TX	Dallas-Fort Worth TX	US	United States	14018	-97.3307658	32.7554883
49011d154b2bba26	city	Cuero	Cuero, TX	US	United States	14019	-97.28915680000001	29.0938652
6eaf9c00f9abaac7	city	Capulálpam de Méndez	Capulálpam de Méndez, Oaxaca	MX	México	14020	-96.44701189999999	17.3040094
351e0bf62e4504b3	neighborhood	Cumbres	Cumbres, Tuxtla Gutiérrez	MX	México	14021	-93.19307959999999	16.7459136
ce509735d8ddfb5f	city	Tataltepec de Valdés	Tataltepec de Valdés, Oaxaca	MX	México	14022	-97.5466926	16.3049154
01b10dac4650645e	admin	Ahuachapan	Ahuachapan, El Salvador	SV	El Salvador	14023	-89.84113819999999	13.9259486
0a7875c409b60734	neighborhood	Residencial Las Puentes	Residencial Las Puentes, San Nicolás de los Garza	MX	México	14024	-100.2789423	25.7367921
5b576155b38a869c	city	Santiago Sochiapan	Santiago Sochiapan, Veracruz de Ignacio de la Llave	MX	México	14025	-95.7348775	17.6640992
a06d6c9ac30f7038	city	Silacayoápam	Silacayoápam, Oaxaca	MX	México	14026	-98.14050490000001	17.5047564
0123f8254a32e319	city	Sesori	Sesori, El Salvador	SV	El Salvador	14027	-88.3615713	13.7191734
5149527449803068	neighborhood	Sección Costa Hermosa	Sección Costa Hermosa, Tijuana	MX	México	14028	-117.1175919	32.513754
07d9db202d483003	poi	Mercedita Airport (PSE)	Mercedita Airport (PSE)	US	United States	14029	-66.5625743	18.0090714
07d9cc708e883001	poi	Coliseo Manuel Petaca Iguina	Coliseo Manuel Petaca Iguina	US	United States	14030	-66.7487347	18.4550637
07d9c953e3c83001	poi	Tamboo Beside the Pointe	Tamboo Beside the Pointe	US	United States	14031	-67.257662	18.370151
3f7acb777e9c12ab	neighborhood	Linda Vista	Linda Vista, Querétaro	MX	México	14032	-100.3933074	20.6051821
2228110dcf440eaf	neighborhood	Atengo	Atengo, Naucalpan de Juárez	MX	México	14033	-99.2227376	19.4788942
0044230f34b9677f	neighborhood	Castillejos	Castillejos, Madrid	ES	España	14034	-3.6954509	40.4600771
58d8c776c1cc952d	neighborhood	Ixtacomitán Primera Sección	Ixtacomitán Primera Sección, Centro	MX	México	14035	-92.96488079999999	17.9542287
4f561c148c974037	neighborhood	San Juan de Aragón	San Juan de Aragón, Gustavo A. Madero	MX	México	14036	-99.0923614	19.4686303
56adbf58146b4f96	neighborhood	Balboa	Balboa, Mexicali	MX	México	14037	-115.4040877	32.6309496
53bd233963816832	neighborhood	Polanco Oriente	Polanco Oriente, Guadalupe	MX	México	14038	-100.261064	25.6704016
59d4315ccf996a64	neighborhood	Plan de Ayala Ampliación sur	Plan de Ayala Ampliación sur, Tuxtla Gutiérrez	MX	México	14039	-93.19051920000001	16.7608348
14d78faa32fc73e1	neighborhood	Lomas de Tarango	Lomas de Tarango, Álvaro Obregón	MX	México	14040	-99.2153111	19.3638636
0e546715659cdb19	city	Sacramenia	Sacramenia, España	ES	España	14041	-3.9616995	41.4938321
4cb67de7b2f50d0a	city	La Grange	La Grange, TX	US	United States	14042	-96.87664699999999	29.9055033
b08f11a91a0bab48	city	Refugio	Refugio, TX	US	United States	14043	-97.2752704	28.3052838
0742168aff9d008f	neighborhood	Fraccionamiento Los Héroes	Fraccionamiento Los Héroes, Ixtapaluca	MX	México	14044	-98.8721186	19.3255414
72f748280d92bde0	city	San Elizario	San Elizario, TX	US	United States	14045	-106.2727573	31.5851146
f80544ddd0332ba5	city	Cervera del Maestre	Cervera del Maestre, España	ES	España	14046	0.2759465	40.4546831
53da433c0c2b58cb	neighborhood	Fuerte de Loreto	Fuerte de Loreto, Iztapalapa	MX	México	14047	-99.03316319999999	19.3685943
3ae6c49a81a3f09c	city	Nalda	Nalda, España	ES	España	14048	-2.4870018	42.3343684
01ff6a2e1c395448	city	Cantagallo	Cantagallo, Colombia	CO	Colombia	14049	-73.91912099999999	7.381529999999999
6cb5e709c9bcfb80	neighborhood	Residencial Acueducto de Guadalupe	Residencial Acueducto de Guadalupe, Gustavo A. Madero	MX	México	14050	-99.1490745	19.5232329
5ac62b40fb55827a	city	Àger	Àger, España	ES	España	14051	0.7610053	42.0007934
c023602a4b6e0bbe	city	Riocabado	Riocabado, España	ES	España	14052	-4.8034713	40.8305303
0c6938a990b2a4cd	neighborhood	San Pedro El Chico	San Pedro El Chico, Gustavo A. Madero	MX	México	14053	-99.0977366	19.4713346
0826b4ec53bdd0b9	city	Vilanova de Sau	Vilanova de Sau, España	ES	España	14054	2.384139	41.9467382
86cfd3e014bc9c7e	city	Trabanca	Trabanca, España	ES	España	14055	-6.3845	41.2334654
1765e64687cdabf0	city	Bera	Bera, España	ES	España	14056	-1.6830042	43.2808504
1c619c714c02af6d	neighborhood	Los Robles	Los Robles, Coyoacán	MX	México	14057	-99.13350899999999	19.3144533
01b9bd37b506a0e4	city	Quesa	Quesa, España	ES	España	14058	-0.7393214	39.1178831
724b67b6a3f3e712	city	Benafigos	Benafigos, Espanya	ES	España	14059	-0.2087151	40.2765053
074ed19b74700bfc	city	Sant Salvador de Guardiola	Sant Salvador de Guardiola, España	ES	España	14060	1.7636181	41.6796024
017275d1360f588d	city	Iles	Iles, Colombia	CO	Colombia	14061	-77.521175	0.9689110000000001
6e410e60a071eae4	city	Normandia	Normandia, Brasil	BR	Brasil	14062	-59.6042834	3.8400188
01329dac090be163	admin	Última Esperanza	Última Esperanza, Magallanes y La Antártica Chilena	CL	Chile	14063	-73.4431338	-51.010239
8e73e1421b45f5e8	admin	Aquitaine	Aquitaine, France	FR	France	14064	-0.2995785	44.7002222
0038f69531e00a49	city	Dabeiba	Dabeiba, Colombia	CO	Colombia	14065	-76.256824	6.997374
